Time;HTI893
26/03/2018  07:13:17;34.304
26/03/2018  07:29:17;33.538
26/03/2018  08:19:17;36.900
26/03/2018  08:37:17;37.312
26/03/2018  09:09:17;37.735
26/03/2018  09:23:17;38.386
26/03/2018  10:39:17;39.497
26/03/2018  12:21:17;39.914
26/03/2018  13:33:17;39.455
26/03/2018  14:11:17;39.038
26/03/2018  15:29:17;38.730
26/03/2018  16:37:17;38.272
26/03/2018  16:47:17;37.771
26/03/2018  17:15:17;38.965
26/03/2018  18:03:17;39.455
26/03/2018  19:01:17;38.965
26/03/2018  19:57:17;39.309
26/03/2018  20:07:17;38.887
26/03/2018  20:17:17;38.235
26/03/2018  21:21:17;38.047
26/03/2018  21:29:17;37.771
26/03/2018  22:25:17;38.084
26/03/2018  22:29:17;38.538
26/03/2018  23:31:17;38.996
26/03/2018  23:53:17;39.419
27/03/2018  00:31:17;38.996
27/03/2018  00:45:17;39.455
27/03/2018  01:13:17;39.768
27/03/2018  01:35:17;40.227
27/03/2018  01:51:17;40.685
27/03/2018  02:03:17;41.030
27/03/2018  02:23:17;40.685
27/03/2018  02:43:17;39.455
27/03/2018  02:59:17;39.877
27/03/2018  03:23:17;40.258
27/03/2018  03:39:17;41.030
27/03/2018  03:57:17;40.571
27/03/2018  04:31:17;40.414
27/03/2018  04:39:17;39.497
27/03/2018  05:13:17;39.153
27/03/2018  05:31:17;39.611
27/03/2018  05:57:17;40.070
27/03/2018  06:13:17;40.414
27/03/2018  06:47:17;40.070
27/03/2018  07:05:17;40.529
27/03/2018  07:27:17;40.873
27/03/2018  08:03:17;40.378
27/03/2018  08:17:17;39.768
27/03/2018  08:49:17;40.258
27/03/2018  09:03:17;39.799
27/03/2018  09:15:17;40.227
27/03/2018  09:55:17;40.685
27/03/2018  10:41:17;40.227
27/03/2018  11:05:17;39.956
27/03/2018  11:11:17;39.346
27/03/2018  11:25:17;39.799
27/03/2018  11:35:17;39.346
27/03/2018  11:45:17;38.845
27/03/2018  13:43:17;38.996
27/03/2018  14:21:17;38.574
27/03/2018  14:47:17;39.038
27/03/2018  15:05:17;39.497
27/03/2018  16:19:17;39.309
27/03/2018  16:39:17;38.845
27/03/2018  18:13:17;38.350
27/03/2018  20:13:17;38.616
27/03/2018  21:33:17;39.690
27/03/2018  22:45:17;40.148
27/03/2018  23:47:17;40.493
28/03/2018  00:59:17;40.951
28/03/2018  02:27:17;41.374
28/03/2018  03:53:17;40.951
28/03/2018  04:13:17;40.493
28/03/2018  04:45:17;40.300
28/03/2018  05:35:17;40.758
28/03/2018  06:15:17;41.139
28/03/2018  07:01:17;41.566
28/03/2018  09:01:17;42.025
28/03/2018  09:57:17;42.369
28/03/2018  11:29:17;42.786
28/03/2018  11:43:17;43.443
28/03/2018  12:13:17;43.939
28/03/2018  12:37:17;44.361
28/03/2018  13:59:17;44.627
28/03/2018  14:59:17;45.091
28/03/2018  16:57:17;45.393
28/03/2018  17:51:17;44.934
28/03/2018  18:07:17;44.476
28/03/2018  18:21:17;44.934
28/03/2018  18:41:17;44.476
28/03/2018  18:59:17;43.511
28/03/2018  19:15:17;44.361
28/03/2018  19:43:17;44.820
28/03/2018  19:55:17;45.435
28/03/2018  21:55:17;45.393
28/03/2018  22:47:17;45.852
28/03/2018  23:25:17;45.435
29/03/2018  00:35:17;45.122
29/03/2018  00:59:17;45.581
29/03/2018  01:21:17;45.091
29/03/2018  03:07:17;44.663
29/03/2018  03:25:17;44.204
29/03/2018  03:35:17;44.663
29/03/2018  05:09:17;44.204
29/03/2018  05:43:17;44.663
29/03/2018  06:19:17;44.204
29/03/2018  07:13:17;43.746
29/03/2018  08:07:17;44.090
29/03/2018  08:39:17;44.517
29/03/2018  10:39:17;44.090
29/03/2018  11:57:17;44.554
29/03/2018  12:35:17;44.934
29/03/2018  13:39:17;44.517
29/03/2018  14:55:17;44.976
29/03/2018  15:31:17;47.160
29/03/2018  15:39:17;47.432
29/03/2018  15:45:17;48.000
29/03/2018  15:53:17;48.349
29/03/2018  16:21:17;48.771
29/03/2018  16:41:17;49.079
29/03/2018  16:49:17;49.851
29/03/2018  17:45:17;49.694
29/03/2018  18:31:17;35.905
29/03/2018  18:39:17;34.570
29/03/2018  18:55:17;32.855
29/03/2018  19:01:17;32.281
29/03/2018  19:19:17;31.025
29/03/2018  19:35:17;30.264
29/03/2018  19:43:17;29.842
29/03/2018  20:03:17;28.778
29/03/2018  22:03:17;26.192
29/03/2018  23:25:17;25.697
29/03/2018  23:55:17;25.280
30/03/2018  00:33:17;24.863
30/03/2018  01:15:17;24.367
30/03/2018  01:57:17;23.950
30/03/2018  03:37:17;23.575
30/03/2018  05:37:17;23.153
30/03/2018  06:11:17;22.699
30/03/2018  08:11:17;22.845
30/03/2018  10:09:17;23.153
30/03/2018  11:55:17;23.643
