Time;HPDIC059
18/04/2018  04:44:39;0.981
18/04/2018  06:44:31;0.992
18/04/2018  08:44:23;0.995
18/04/2018  10:44:15;0.987
18/04/2018  12:44:07;1.003
18/04/2018  14:43:59;0.988
18/04/2018  16:43:51;1.023
18/04/2018  18:43:43;0.981
18/04/2018  20:43:35;0.793
18/04/2018  22:43:27;0.759
19/04/2018  00:43:19;0.755
19/04/2018  02:43:11;0.994
19/04/2018  04:43:03;1.007
19/04/2018  06:42:55;0.988
19/04/2018  08:42:47;1.009
19/04/2018  10:42:39;1.012
19/04/2018  12:42:31;1.014
19/04/2018  14:42:23;0.998
19/04/2018  16:42:15;0.989
19/04/2018  18:42:07;0.978
19/04/2018  20:41:59;0.981
19/04/2018  22:41:51;0.983
20/04/2018  00:41:43;0.977
20/04/2018  02:41:35;0.984
20/04/2018  04:41:27;0.996
20/04/2018  06:41:19;1.011
20/04/2018  08:41:11;0.987
20/04/2018  10:41:03;1.021
20/04/2018  12:40:55;0.999
20/04/2018  14:40:47;1.017
20/04/2018  16:40:39;0.982
20/04/2018  18:40:31;1.010
20/04/2018  20:40:23;1.008
20/04/2018  22:40:15;1.019
21/04/2018  00:40:07;1.010
21/04/2018  02:39:59;0.991
21/04/2018  04:39:51;0.998
21/04/2018  06:39:43;1.009
21/04/2018  08:39:35;1.009
21/04/2018  10:39:27;1.013
21/04/2018  12:39:19;0.983
21/04/2018  14:39:11;0.996
21/04/2018  16:39:03;1.010
21/04/2018  18:38:55;1.018
21/04/2018  20:38:47;1.020
21/04/2018  22:38:39;1.018
22/04/2018  00:38:31;0.983
22/04/2018  02:38:23;1.025
22/04/2018  04:38:15;0.989
22/04/2018  06:38:07;1.012
22/04/2018  08:37:59;0.986
22/04/2018  10:37:51;0.986
22/04/2018  12:37:43;1.013
22/04/2018  14:37:35;1.009
22/04/2018  16:37:27;0.983
22/04/2018  18:37:19;1.014
22/04/2018  20:37:11;0.977
22/04/2018  22:37:03;0.987
23/04/2018  00:36:55;0.986
23/04/2018  02:36:47;1.021
23/04/2018  04:36:39;0.985
23/04/2018  06:36:31;0.997
23/04/2018  08:36:23;1.008
23/04/2018  10:36:15;1.008
23/04/2018  12:36:07;0.986
23/04/2018  14:35:59;1.005
23/04/2018  16:35:51;1.020
23/04/2018  18:35:43;0.994
23/04/2018  20:35:35;0.988
23/04/2018  22:35:27;0.997
24/04/2018  00:35:19;0.984
24/04/2018  02:35:11;0.976
24/04/2018  04:35:03;1.001
24/04/2018  06:34:55;1.005
24/04/2018  08:34:47;1.003
24/04/2018  10:34:39;1.015
24/04/2018  12:34:31;0.976
24/04/2018  14:34:23;1.007
24/04/2018  16:34:15;0.996
24/04/2018  18:34:07;1.023
24/04/2018  20:33:59;0.999
24/04/2018  22:33:51;1.001
25/04/2018  00:33:43;0.989
25/04/2018  02:33:35;0.998
25/04/2018  04:33:27;1.004
25/04/2018  06:33:19;1.002
25/04/2018  08:33:11;1.000
25/04/2018  10:33:03;0.991
25/04/2018  12:32:55;0.996
25/04/2018  14:32:47;1.004
25/04/2018  16:32:39;1.011
25/04/2018  18:32:31;0.999
25/04/2018  20:32:23;0.995
25/04/2018  22:32:15;1.003
26/04/2018  00:32:07;0.999
26/04/2018  02:31:59;0.995
26/04/2018  04:31:51;1.000
26/04/2018  06:31:43;0.989
26/04/2018  08:31:35;1.002
26/04/2018  10:31:27;1.009
26/04/2018  12:31:19;0.997
26/04/2018  14:31:11;1.002
26/04/2018  16:31:03;1.000
26/04/2018  18:30:55;1.007
26/04/2018  20:30:47;1.005
26/04/2018  22:30:39;0.992
27/04/2018  00:30:31;1.006
27/04/2018  02:30:23;1.011
27/04/2018  04:30:15;1.006
27/04/2018  06:30:07;1.000
27/04/2018  08:29:59;1.012
27/04/2018  10:29:51;0.997
27/04/2018  12:29:43;0.989
27/04/2018  14:29:35;0.991
27/04/2018  16:29:27;1.009
27/04/2018  18:29:19;0.997
27/04/2018  20:29:11;1.010
27/04/2018  22:29:03;1.008
28/04/2018  00:28:55;0.987
28/04/2018  02:28:47;0.979
28/04/2018  04:28:39;0.997
28/04/2018  06:28:31;1.008
28/04/2018  08:28:23;0.987
28/04/2018  10:28:15;0.998
28/04/2018  12:28:07;1.010
28/04/2018  14:27:59;0.994
28/04/2018  16:27:51;0.991
28/04/2018  18:27:43;0.999
28/04/2018  20:27:35;1.014
28/04/2018  22:27:27;0.993
29/04/2018  00:27:19;0.992
29/04/2018  02:27:11;1.004
29/04/2018  04:27:03;1.013
29/04/2018  06:26:55;0.998
29/04/2018  08:26:47;1.014
29/04/2018  10:26:39;0.998
29/04/2018  12:26:31;0.988
29/04/2018  14:26:23;1.013
29/04/2018  16:26:15;1.018
29/04/2018  18:26:07;1.025
