
Time;HTI889I
04/04/2019  19:53:03;57.436
04/04/2019  19:55:03;58.010
04/04/2019  20:07:03;57.436
04/04/2019  21:03:03;57.551
04/04/2019  21:05:03;56.930
04/04/2019  21:07:03;57.436
04/04/2019  21:25:03;57.394
04/04/2019  22:39:03;57.243
04/04/2019  23:09:03;57.280
04/04/2019  23:11:03;56.706
04/04/2019  23:13:03;57.280
04/04/2019  23:19:03;56.706
05/04/2019  00:33:03;56.659
05/04/2019  00:35:03;57.280
05/04/2019  00:45:03;57.087
05/04/2019  00:51:03;56.503
05/04/2019  00:55:03;56.472
05/04/2019  00:57:03;57.087
05/04/2019  01:21:03;57.123
05/04/2019  02:25:03;57.280
05/04/2019  02:27:03;56.472
05/04/2019  02:29:03;57.087
05/04/2019  02:51:03;56.930
05/04/2019  02:53:03;57.587
05/04/2019  03:19:03;57.551
05/04/2019  03:21:03;56.972
05/04/2019  05:19:03;56.738
05/04/2019  06:13:03;57.087
05/04/2019  06:27:03;57.045
05/04/2019  07:25:03;57.202
05/04/2019  07:27:03;56.435
05/04/2019  07:29:03;57.045
05/04/2019  08:39:03;57.243
05/04/2019  09:11:03;57.202
05/04/2019  10:21:03;57.394
05/04/2019  11:09:03;57.707
05/04/2019  13:09:03;58.202
05/04/2019  14:29:03;58.666
05/04/2019  16:29:03;58.708
05/04/2019  16:59:03;58.515
05/04/2019  18:19:03;58.708
05/04/2019  20:19:03;58.474
05/04/2019  21:13:03;58.437
05/04/2019  21:15:03;57.822
05/04/2019  21:19:03;58.166
05/04/2019  23:17:03;58.166
06/04/2019  00:07:03;58.166
06/04/2019  00:09:03;57.665
06/04/2019  00:11:03;58.281
06/04/2019  00:17:03;57.665
06/04/2019  00:19:03;58.281
06/04/2019  00:37:03;58.281
06/04/2019  00:39:03;57.665
06/04/2019  00:41:03;58.166
06/04/2019  00:45:03;58.166
06/04/2019  00:47:03;57.665
06/04/2019  02:39:03;57.707
06/04/2019  02:41:03;57.123
06/04/2019  02:49:03;57.087
06/04/2019  02:51:03;57.707
06/04/2019  02:55:03;57.707
06/04/2019  02:57:03;57.087
06/04/2019  04:19:03;57.202
06/04/2019  04:21:03;56.581
06/04/2019  04:23:03;57.202
06/04/2019  04:37:03;56.930
06/04/2019  06:37:03;56.774
06/04/2019  06:39:03;57.394
06/04/2019  06:49:03;57.202
06/04/2019  07:43:03;57.045
06/04/2019  08:21:03;57.123
06/04/2019  08:23:03;56.503
06/04/2019  08:25:03;57.123
06/04/2019  08:27:03;56.472
06/04/2019  08:29:03;57.087
06/04/2019  09:15:03;57.243
06/04/2019  09:25:03;57.665
06/04/2019  11:05:03;57.853
06/04/2019  11:25:03;58.057
06/04/2019  12:39:03;58.328
06/04/2019  14:37:03;58.666
06/04/2019  16:35:03;58.328
06/04/2019  17:15:03;58.124
06/04/2019  17:47:03;57.978
06/04/2019  17:49:03;57.358
06/04/2019  19:49:03;57.473
06/04/2019  21:07:03;57.358
06/04/2019  22:15:03;57.665
06/04/2019  22:51:03;57.514
06/04/2019  23:01:03;57.202
07/04/2019  01:01:03;57.202
07/04/2019  03:01:03;57.316
07/04/2019  04:59:03;57.202
07/04/2019  06:05:03;57.165
07/04/2019  06:07:03;57.785
07/04/2019  06:19:03;57.473
07/04/2019  07:29:03;57.358
07/04/2019  07:43:03;57.316
07/04/2019  08:13:03;57.316
07/04/2019  08:15:03;57.822
07/04/2019  08:23:03;57.316
