
Time;HTI892B
02/04/2018  21:01:17;50.502
02/04/2018  22:59:17;50.388
03/04/2018  00:59:17;50.502
03/04/2018  02:57:17;50.346
03/04/2018  04:57:17;50.502
03/04/2018  06:57:17;50.659
03/04/2018  08:57:17;50.695
03/04/2018  10:55:17;50.659
03/04/2018  12:55:17;50.502
03/04/2018  14:55:17;50.502
03/04/2018  16:53:17;50.617
03/04/2018  18:53:17;50.695
03/04/2018  20:51:17;50.659
03/04/2018  22:51:17;50.695
04/04/2018  00:49:17;50.659
04/04/2018  02:49:17;50.502
04/04/2018  04:47:17;50.502
04/04/2018  06:47:17;50.231
04/04/2018  08:47:17;50.195
04/04/2018  10:47:17;50.502
04/04/2018  12:45:17;50.346
04/04/2018  14:45:17;50.195
04/04/2018  15:51:17;50.539
04/04/2018  17:51:17;50.659
04/04/2018  19:15:17;50.195
04/04/2018  21:15:17;50.195
04/04/2018  23:13:17;50.231
05/04/2018  01:11:17;50.424
05/04/2018  03:11:17;50.346
05/04/2018  05:09:17;49.929
05/04/2018  06:33:17;49.579
05/04/2018  08:33:17;49.538
05/04/2018  09:37:17;49.929
05/04/2018  11:35:17;50.153
05/04/2018  13:35:17;50.195
05/04/2018  15:35:17;50.268
05/04/2018  17:33:17;50.122
05/04/2018  19:33:17;50.268
05/04/2018  21:33:17;49.997
05/04/2018  23:33:17;50.043
06/04/2018  01:15:17;49.579
06/04/2018  03:05:17;49.235
06/04/2018  05:03:17;49.235
06/04/2018  07:01:17;49.423
06/04/2018  08:59:17;49.392
06/04/2018  10:59:17;49.314
06/04/2018  12:57:17;49.579
06/04/2018  14:55:17;49.538
06/04/2018  15:41:17;49.887
06/04/2018  17:39:17;50.043
06/04/2018  19:39:17;49.772
06/04/2018  21:37:17;49.423
06/04/2018  23:35:17;49.157
07/04/2018  01:33:17;49.157
07/04/2018  03:33:17;49.157
07/04/2018  05:33:17;49.121
07/04/2018  07:31:17;49.314
07/04/2018  09:31:17;49.579
07/04/2018  11:29:17;49.851
07/04/2018  13:27:17;50.043
07/04/2018  15:27:17;50.043
07/04/2018  17:27:17;50.153
07/04/2018  19:25:17;49.997
07/04/2018  21:23:17;50.043
07/04/2018  23:23:17;50.195
08/04/2018  01:21:17;50.346
08/04/2018  03:19:17;50.153
08/04/2018  05:17:17;50.346
08/04/2018  07:17:17;50.195
08/04/2018  09:17:17;50.309
08/04/2018  11:15:17;50.346
08/04/2018  13:13:17;50.346
08/04/2018  15:13:17;50.466
08/04/2018  17:11:17;50.617
08/04/2018  19:09:17;50.659
08/04/2018  19:49:17;50.502
08/04/2018  20:15:17;50.153
08/04/2018  21:19:17;49.658
08/04/2018  21:33:17;49.199
08/04/2018  22:05:17;48.771
08/04/2018  23:27:17;49.235
09/04/2018  00:35:17;48.808
09/04/2018  02:33:17;49.235
09/04/2018  04:33:17;49.272
09/04/2018  06:31:17;49.121
09/04/2018  08:29:17;49.121
09/04/2018  10:27:17;49.579
09/04/2018  12:27:17;49.694
09/04/2018  14:19:17;49.997
09/04/2018  16:19:17;50.153
09/04/2018  18:17:17;49.965
09/04/2018  20:15:17;49.851
09/04/2018  22:13:17;49.731
09/04/2018  23:59:17;49.392
10/04/2018  01:57:17;49.157
10/04/2018  03:57:17;49.079
10/04/2018  05:55:17;49.392
10/04/2018  07:55:17;49.345
10/04/2018  09:53:17;49.121
10/04/2018  11:25:17;49.616
10/04/2018  12:47:17;50.075
10/04/2018  12:57:17;49.929
10/04/2018  12:57:17;49.929
10/04/2018  12:58:59;49.887
10/04/2018  14:58:56;49.731
10/04/2018  15:40:56;50.043
10/04/2018  17:40:56;50.195
10/04/2018  19:38:56;50.388
10/04/2018  21:30:56;50.195
10/04/2018  23:30:56;50.195
11/04/2018  01:28:56;49.997
11/04/2018  03:28:56;49.694
11/04/2018  05:28:56;49.887
11/04/2018  07:26:56;50.075
11/04/2018  09:26:56;50.195
11/04/2018  11:24:56;50.075
11/04/2018  13:22:56;49.731
11/04/2018  15:22:56;49.694
11/04/2018  17:20:56;49.997
11/04/2018  19:20:56;50.153
11/04/2018  21:18:56;50.043
11/04/2018  22:10:56;49.731
11/04/2018  23:44:56;49.235
12/04/2018  01:44:56;49.272
12/04/2018  03:44:56;49.001
12/04/2018  05:42:56;48.964
12/04/2018  07:42:56;49.272
12/04/2018  09:40:56;49.579
12/04/2018  11:38:56;49.538
12/04/2018  13:36:56;49.392
12/04/2018  15:36:56;49.579
12/04/2018  17:34:56;49.392
12/04/2018  19:32:56;49.392
12/04/2018  21:30:56;49.235
12/04/2018  23:30:56;49.272
13/04/2018  01:30:56;49.121
13/04/2018  03:28:56;48.928
13/04/2018  05:28:56;48.964
13/04/2018  07:28:56;49.272
13/04/2018  09:06:56;49.731
13/04/2018  10:04:56;50.075
13/04/2018  12:02:56;50.075
13/04/2018  14:02:56;50.153
13/04/2018  16:00:56;49.887
13/04/2018  18:00:56;50.043
13/04/2018  20:00:56;50.346
13/04/2018  21:58:56;50.195
13/04/2018  23:56:56;50.195
14/04/2018  01:56:56;50.309
14/04/2018  03:54:56;50.309
14/04/2018  05:54:56;49.997
14/04/2018  07:54:56;50.043
14/04/2018  09:52:56;49.887
14/04/2018  11:52:56;49.851
14/04/2018  13:50:56;50.043
14/04/2018  15:48:56;50.195
14/04/2018  17:48:56;50.195
14/04/2018  19:48:56;50.122
14/04/2018  21:48:56;50.346
14/04/2018  23:46:56;50.502
15/04/2018  01:44:56;50.388
15/04/2018  03:42:56;50.388
15/04/2018  05:42:56;50.231
15/04/2018  07:40:56;50.231
15/04/2018  09:38:56;50.346
15/04/2018  11:36:56;50.346
15/04/2018  13:34:56;50.695
15/04/2018  15:32:56;50.659
15/04/2018  17:32:56;50.617
15/04/2018  19:32:56;50.805
15/04/2018  21:32:56;50.346
15/04/2018  23:32:56;50.466
16/04/2018  00:06:56;50.153
16/04/2018  02:06:56;50.309
16/04/2018  04:04:56;49.965
16/04/2018  06:04:56;50.388
16/04/2018  08:04:56;50.075
16/04/2018  10:02:56;50.195
16/04/2018  12:02:56;50.309
16/04/2018  14:02:56;50.346
16/04/2018  16:00:56;50.502
16/04/2018  17:58:56;50.309
16/04/2018  19:56:56;50.153
16/04/2018  21:54:56;50.388
16/04/2018  23:52:56;50.388
17/04/2018  01:26:56;50.043
17/04/2018  03:26:56;50.075
17/04/2018  04:22:56;49.658
17/04/2018  06:22:56;49.929
17/04/2018  08:20:56;49.694
17/04/2018  09:44:56;49.272
17/04/2018  11:44:56;49.423
17/04/2018  12:28:56;49.809
17/04/2018  14:26:56;50.043
17/04/2018  16:24:56;50.346
17/04/2018  18:24:56;50.388
17/04/2018  20:22:56;50.231
17/04/2018  22:22:56;50.388
18/04/2018  00:22:56;50.195
18/04/2018  02:20:56;49.887
18/04/2018  04:20:56;49.772
18/04/2018  06:18:56;49.887
18/04/2018  08:16:56;49.772
18/04/2018  09:24:56;50.231
18/04/2018  11:22:56;49.887
18/04/2018  13:22:56;49.887
18/04/2018  15:22:56;49.997
18/04/2018  17:22:56;49.997
18/04/2018  19:20:56;49.997
18/04/2018  21:18:56;49.731
18/04/2018  23:18:56;49.851
19/04/2018  01:16:56;49.997
19/04/2018  03:16:56;50.153
19/04/2018  05:14:56;49.997
19/04/2018  07:14:56;50.195
19/04/2018  09:14:56;50.195
19/04/2018  11:14:56;50.195
19/04/2018  13:12:56;50.309
19/04/2018  15:12:56;50.502
19/04/2018  17:10:56;50.502
19/04/2018  19:10:56;50.195
19/04/2018  21:10:56;50.043
19/04/2018  23:10:56;49.965
20/04/2018  01:08:56;50.043
20/04/2018  03:06:56;49.887
20/04/2018  05:04:56;49.997
20/04/2018  07:04:56;49.694
20/04/2018  09:04:56;49.851
20/04/2018  11:04:56;50.195
20/04/2018  13:04:56;50.466
20/04/2018  15:02:56;50.346
20/04/2018  17:00:56;50.466
20/04/2018  19:00:56;50.231
20/04/2018  20:58:56;50.122
20/04/2018  22:56:56;49.997
21/04/2018  00:56:56;49.997
21/04/2018  02:54:56;49.731
21/04/2018  04:54:56;49.731
21/04/2018  06:52:56;49.731
21/04/2018  08:50:56;49.929
21/04/2018  10:50:56;49.997
21/04/2018  12:50:56;49.997
21/04/2018  14:48:56;50.153
21/04/2018  16:48:56;50.346
21/04/2018  18:46:56;50.346
21/04/2018  20:46:56;50.466
21/04/2018  22:46:56;50.502
21/04/2018  23:26:56;50.153
22/04/2018  01:24:56;49.887
22/04/2018  03:24:56;50.153
22/04/2018  05:22:56;50.043
22/04/2018  07:20:56;49.851
22/04/2018  09:18:56;49.731
22/04/2018  10:48:56;50.153
22/04/2018  12:48:56;50.153
22/04/2018  14:46:56;50.346
22/04/2018  16:46:56;50.346
22/04/2018  18:44:56;50.309
22/04/2018  20:32:56;49.851
22/04/2018  22:32:56;49.851
23/04/2018  00:30:56;49.851
23/04/2018  02:30:56;49.887
23/04/2018  04:28:56;49.887
23/04/2018  06:26:56;49.997
23/04/2018  08:26:56;49.997
23/04/2018  10:24:56;50.153
23/04/2018  12:24:56;49.997
23/04/2018  14:22:56;50.153
23/04/2018  16:20:56;50.346
23/04/2018  16:42:56;50.043
23/04/2018  16:48:56;49.579
23/04/2018  17:22:56;50.043
23/04/2018  18:32:56;49.694
23/04/2018  19:26:56;49.272
23/04/2018  19:38:56;48.808
23/04/2018  21:38:56;48.662
23/04/2018  23:36:56;49.157
24/04/2018  01:36:56;48.964
24/04/2018  03:34:56;48.808
24/04/2018  05:34:56;48.850
24/04/2018  07:32:56;48.662
24/04/2018  09:32:56;48.964
24/04/2018  09:38:56;48.928
24/04/2018  09:42:56;44.663
24/04/2018  09:50:56;43.131
24/04/2018  09:56:56;41.598
24/04/2018  10:00:56;41.754
24/04/2018  10:02:56;42.865
24/04/2018  10:08:56;42.057
24/04/2018  10:16:56;41.108
24/04/2018  10:30:56;39.611
24/04/2018  11:26:56;35.597
24/04/2018  11:38:56;35.180
24/04/2018  11:52:56;34.570
24/04/2018  12:06:56;34.111
24/04/2018  13:52:56;32.391
24/04/2018  15:32:56;31.979
24/04/2018  17:08:56;31.666
24/04/2018  19:08:56;31.557
24/04/2018  20:24:56;31.213
24/04/2018  21:38:56;30.869
24/04/2018  23:08:56;30.410
25/04/2018  00:50:56;29.956
25/04/2018  00:52:56;35.451
