
Time;HVI878Y
03/05/2018  03:38:15;5.297
03/05/2018  05:38:13;5.306
03/05/2018  07:38:11;5.329
03/05/2018  09:38:09;5.345
03/05/2018  11:38:07;5.347
03/05/2018  13:38:05;5.410
03/05/2018  15:38:03;5.243
03/05/2018  17:38:01;5.421
03/05/2018  19:37:59;5.486
03/05/2018  21:37:57;5.598
03/05/2018  23:37:55;5.394
04/05/2018  01:37:53;5.572
04/05/2018  03:37:51;5.603
04/05/2018  05:37:49;5.371
04/05/2018  07:37:47;5.421
04/05/2018  09:37:45;5.389
04/05/2018  11:37:43;5.329
04/05/2018  13:37:41;5.345
04/05/2018  15:37:39;5.443
04/05/2018  17:37:37;5.410
04/05/2018  19:37:35;5.339
04/05/2018  21:37:33;5.493
04/05/2018  23:37:31;5.540
05/05/2018  01:37:29;5.396
05/05/2018  03:37:27;5.242
05/05/2018  05:37:25;5.323
05/05/2018  07:37:23;5.282
05/05/2018  09:37:21;5.427
05/05/2018  11:37:19;5.297
05/05/2018  13:37:17;5.362
05/05/2018  15:37:15;5.274
05/05/2018  17:37:13;5.362
05/05/2018  19:37:11;5.225
05/05/2018  21:37:09;5.670
05/05/2018  23:37:07;5.501
06/05/2018  01:37:05;5.387
06/05/2018  03:37:03;5.469
06/05/2018  05:37:01;5.443
06/05/2018  07:36:59;5.313
06/05/2018  09:36:57;5.313
06/05/2018  11:36:55;5.297
06/05/2018  13:36:53;5.306
06/05/2018  15:36:51;5.339
06/05/2018  17:36:49;5.331
06/05/2018  19:36:47;5.297
06/05/2018  21:36:45;5.404
06/05/2018  23:36:43;5.281
07/05/2018  01:36:41;5.282
07/05/2018  03:36:39;5.459
07/05/2018  05:36:37;5.290
07/05/2018  07:36:35;5.160
07/05/2018  09:36:33;5.355
07/05/2018  11:36:31;5.209
07/05/2018  13:36:29;5.200
07/05/2018  15:36:27;5.436
07/05/2018  17:36:25;5.491
07/05/2018  19:36:23;5.373
07/05/2018  21:36:21;5.444
07/05/2018  23:36:19;5.410
08/05/2018  01:36:17;5.362
08/05/2018  03:36:15;5.258
08/05/2018  05:36:13;5.378
08/05/2018  07:36:11;5.151
08/05/2018  09:36:09;5.281
08/05/2018  11:36:07;5.427
08/05/2018  13:36:05;5.556
08/05/2018  15:36:03;5.258
08/05/2018  17:36:01;5.185
08/05/2018  19:35:59;5.242
08/05/2018  21:35:57;5.410
08/05/2018  23:35:55;5.209
09/05/2018  01:35:53;5.387
09/05/2018  03:35:51;5.242
09/05/2018  05:35:49;5.313
09/05/2018  07:35:47;5.185
09/05/2018  09:35:45;5.323
09/05/2018  11:35:43;5.371
09/05/2018  13:35:41;5.404
09/05/2018  15:35:39;5.799
09/05/2018  17:35:37;5.799
09/05/2018  19:35:35;5.425
09/05/2018  21:35:33;5.405
09/05/2018  23:35:31;6.036
10/05/2018  01:35:29;6.067
10/05/2018  03:35:27;5.825
10/05/2018  05:35:25;5.945
10/05/2018  07:35:23;6.033
10/05/2018  09:35:21;5.808
10/05/2018  11:35:19;5.953
10/05/2018  13:35:17;6.068
10/05/2018  15:35:15;5.953
10/05/2018  17:35:13;5.978
10/05/2018  19:35:11;5.987
