
"Time";"HTI886";
"14/03/2018  22:45:53";"69,659";
"14/03/2018  23:05:53";"69,659";
"14/03/2018  23:07:53";"70,278";
"14/03/2018  23:15:53";"69,508";
"14/03/2018  23:17:53";"70,122";
"14/03/2018  23:23:53";"69,659";
"14/03/2018  23:35:53";"69,659";
"14/03/2018  23:37:53";"70,278";
"14/03/2018  23:39:53";"69,508";
"14/03/2018  23:41:53";"70,278";
"14/03/2018  23:43:53";"69,508";
"14/03/2018  23:45:53";"70,122";
"14/03/2018  23:55:53";"69,698";
"15/03/2018  00:25:53";"69,859";
"15/03/2018  00:27:53";"69,191";
"15/03/2018  00:29:53";"69,971";
"15/03/2018  00:39:53";"69,971";
"15/03/2018  00:41:53";"69,386";
"15/03/2018  00:57:53";"69,508";
"15/03/2018  00:59:53";"70,122";
"15/03/2018  01:01:53";"69,347";
"15/03/2018  01:03:53";"70,122";
"15/03/2018  01:13:53";"69,859";
"15/03/2018  01:15:53";"69,235";
"15/03/2018  01:21:53";"69,235";
"15/03/2018  01:23:53";"70,166";
"15/03/2018  01:25:53";"69,235";
"15/03/2018  01:27:53";"70,122";
"15/03/2018  01:37:53";"69,971";
"15/03/2018  01:39:53";"69,347";
"15/03/2018  01:41:53";"70,122";
"15/03/2018  01:49:53";"68,884";
"15/03/2018  01:51:53";"69,971";
"15/03/2018  01:59:53";"69,659";
"15/03/2018  02:01:53";"70,434";
"15/03/2018  02:03:53";"69,776";
"15/03/2018  02:45:53";"69,508";
"15/03/2018  02:47:53";"69,191";
"15/03/2018  02:49:53";"70,122";
"15/03/2018  02:51:53";"69,508";
"15/03/2018  02:57:53";"69,776";
"15/03/2018  02:59:53";"70,434";
"15/03/2018  03:01:53";"69,659";
"15/03/2018  03:05:53";"69,659";
"15/03/2018  03:07:53";"70,278";
"15/03/2018  03:17:53";"69,971";
"15/03/2018  03:43:53";"69,776";
"15/03/2018  03:55:53";"69,698";
"15/03/2018  03:57:53";"70,278";
"15/03/2018  04:11:53";"70,122";
"15/03/2018  04:13:53";"69,347";
"15/03/2018  04:15:53";"70,166";
"15/03/2018  04:21:53";"70,088";
"15/03/2018  04:41:53";"69,815";
"15/03/2018  05:07:53";"69,859";
"15/03/2018  05:09:53";"70,473";
"15/03/2018  05:11:53";"69,386";
"15/03/2018  05:15:53";"70,005";
"15/03/2018  05:37:53";"70,088";
"15/03/2018  05:39:53";"69,464";
"15/03/2018  05:49:53";"70,088";
"15/03/2018  06:07:53";"69,893";
"15/03/2018  06:09:53";"69,313";
"15/03/2018  06:11:53";"69,927";
"15/03/2018  08:09:53";"70,088";
"15/03/2018  09:29:53";"69,971";
"15/03/2018  09:31:53";"69,347";
"15/03/2018  09:35:53";"69,815";
"15/03/2018  11:35:53";"69,815";
"15/03/2018  12:57:53";"69,776";
"15/03/2018  13:03:53";"69,313";
"15/03/2018  13:05:53";"70,278";
"15/03/2018  13:07:53";"69,659";
"15/03/2018  14:01:53";"69,620";
"15/03/2018  14:03:53";"70,244";
"15/03/2018  14:07:53";"69,893";
"15/03/2018  15:15:53";"69,971";
"15/03/2018  15:17:53";"69,313";
"15/03/2018  15:21:53";"69,927";
"15/03/2018  16:01:53";"70,122";
"15/03/2018  16:13:53";"69,971";
"15/03/2018  16:15:53";"69,347";
"15/03/2018  16:17:53";"70,278";
"15/03/2018  16:25:53";"69,698";
"15/03/2018  16:27:53";"70,322";
"15/03/2018  16:37:53";"70,278";
"15/03/2018  16:39:53";"69,659";
"15/03/2018  16:41:53";"70,278";
"15/03/2018  16:43:53";"69,347";
"15/03/2018  16:51:53";"70,434";
"15/03/2018  17:01:53";"70,278";
"15/03/2018  17:03:53";"69,659";
"15/03/2018  17:05:53";"70,473";
"15/03/2018  17:11:53";"70,005";
"15/03/2018  17:13:53";"69,235";
"15/03/2018  17:15:53";"70,278";
"15/03/2018  17:39:53";"69,815";
"15/03/2018  17:51:53";"69,698";
"15/03/2018  17:53:53";"70,629";
"15/03/2018  17:55:53";"70,122";
"15/03/2018  18:09:53";"69,659";
"15/03/2018  18:11:53";"69,508";
"15/03/2018  18:13:53";"70,166";
"15/03/2018  18:15:53";"69,659";
"15/03/2018  18:19:53";"70,278";
"15/03/2018  18:21:53";"69,659";
"15/03/2018  18:23:53";"70,434";
"15/03/2018  18:25:53";"69,859";
"15/03/2018  18:45:53";"69,815";
"15/03/2018  18:47:53";"70,473";
"15/03/2018  18:49:53";"69,859";
"15/03/2018  18:51:53";"70,746";
"15/03/2018  18:53:53";"70,005";
"15/03/2018  19:27:53";"69,971";
