
"Time";"HTI889G";
"29/03/2018  23:15:17";"30,410";
"30/03/2018  00:07:17";"30,034";
"30/03/2018  00:49:17";"29,576";
"30/03/2018  01:31:17";"29,122";
"30/03/2018  02:03:17";"28,663";
"30/03/2018  02:53:17";"28,278";
"30/03/2018  04:39:17";"27,866";
"30/03/2018  06:01:17";"27,412";
"30/03/2018  07:05:17";"26,948";
"30/03/2018  09:03:17";"26,948";
"30/03/2018  11:01:17";"27,214";
"30/03/2018  12:15:17";"27,558";
"30/03/2018  13:53:17";"28,012";
"30/03/2018  15:33:17";"28,476";
"30/03/2018  17:33:17";"28,887";
"30/03/2018  19:31:17";"28,966";
"30/03/2018  21:31:17";"28,663";
"30/03/2018  23:29:17";"28,356";
"31/03/2018  00:53:17";"27,902";
"31/03/2018  01:57:17";"27,412";
"31/03/2018  02:43:17";"26,948";
"31/03/2018  04:41:17";"26,682";
"31/03/2018  06:41:17";"26,495";
"31/03/2018  08:39:17";"26,536";
"31/03/2018  10:37:17";"26,682";
"31/03/2018  12:37:17";"26,839";
"31/03/2018  13:45:17";"26,077";
"31/03/2018  15:43:17";"25,624";
"31/03/2018  15:45:17";"32,589";
"31/03/2018  15:47:17";"36,859";
"31/03/2018  15:51:17";"39,038";
"31/03/2018  15:57:17";"41,488";
"31/03/2018  16:07:17";"44,820";
"31/03/2018  16:21:17";"48,808";
"31/03/2018  16:45:17";"53,735";
"31/03/2018  16:49:17";"53,422";
"31/03/2018  16:51:17";"52,311";
"31/03/2018  17:01:17";"51,733";
"31/03/2018  19:01:17";"51,581";
"31/03/2018  21:01:17";"51,545";
"31/03/2018  22:59:17";"51,884";
"01/04/2018  00:57:17";"51,733";
"01/04/2018  02:57:17";"51,884";
"01/04/2018  04:55:17";"51,926";
"01/04/2018  06:53:17";"51,884";
"01/04/2018  08:51:17";"51,733";
"01/04/2018  10:51:17";"51,884";
"01/04/2018  12:33:17";"52,343";
"01/04/2018  14:33:17";"52,499";
"01/04/2018  16:31:17";"52,499";
"01/04/2018  18:31:17";"52,311";
"01/04/2018  20:29:17";"52,155";
"01/04/2018  22:27:17";"52,233";
"01/04/2018  22:59:17";"51,884";
"02/04/2018  00:59:17";"52,040";
"02/04/2018  02:59:17";"51,581";
"02/04/2018  04:57:17";"51,613";
"02/04/2018  06:57:17";"51,467";
"02/04/2018  08:55:17";"51,769";
"02/04/2018  10:53:17";"52,233";
"02/04/2018  12:51:17";"52,655";
"02/04/2018  14:49:17";"52,963";
"02/04/2018  16:47:17";"53,119";
"02/04/2018  18:45:17";"53,234";
"02/04/2018  20:43:17";"53,276";
"02/04/2018  22:41:17";"53,312";
"03/04/2018  00:41:17";"53,156";
"03/04/2018  02:39:17";"53,119";
"03/04/2018  04:39:17";"53,119";
"03/04/2018  06:39:17";"53,234";
"03/04/2018  08:37:17";"53,276";
"03/04/2018  10:37:17";"53,276";
"03/04/2018  12:37:17";"53,234";
"03/04/2018  14:35:17";"53,463";
"03/04/2018  16:33:17";"53,422";
"03/04/2018  18:33:17";"53,463";
"03/04/2018  20:31:17";"53,463";
"03/04/2018  22:31:17";"53,422";
"04/04/2018  00:31:17";"53,463";
"04/04/2018  02:29:17";"53,422";
"04/04/2018  04:29:17";"53,276";
"04/04/2018  06:27:17";"53,005";
"04/04/2018  08:25:17";"53,276";
"04/04/2018  10:25:17";"53,422";
"04/04/2018  12:23:17";"53,578";
"04/04/2018  14:21:17";"53,463";
"04/04/2018  16:21:17";"53,578";
"04/04/2018  18:21:17";"53,463";
"04/04/2018  20:21:17";"53,156";
"04/04/2018  22:19:17";"53,005";
"05/04/2018  00:19:17";"53,234";
"05/04/2018  02:19:17";"53,083";
"05/04/2018  04:17:17";"52,770";
"05/04/2018  06:17:17";"52,614";
"05/04/2018  08:15:17";"52,655";
"05/04/2018  09:29:17";"53,119";
"05/04/2018  11:29:17";"53,422";
"05/04/2018  13:27:17";"53,385";
"05/04/2018  15:27:17";"53,354";
"05/04/2018  17:27:17";"53,354";
"05/04/2018  19:25:17";"53,198";
"05/04/2018  21:25:17";"52,770";
"05/04/2018  23:23:17";"52,812";
"06/04/2018  01:21:17";"52,421";
"06/04/2018  03:21:17";"52,311";
"06/04/2018  05:21:17";"52,468";
"06/04/2018  07:19:17";"52,468";
"06/04/2018  09:17:17";"52,655";
"06/04/2018  11:17:17";"52,963";
"06/04/2018  13:15:17";"53,119";
"06/04/2018  15:15:17";"53,234";
"06/04/2018  17:15:17";"53,422";
"06/04/2018  19:13:17";"53,119";
"06/04/2018  21:13:17";"52,963";
"06/04/2018  23:11:17";"52,692";
"07/04/2018  01:09:17";"52,546";
"07/04/2018  03:09:17";"52,468";
"07/04/2018  05:09:17";"52,546";
"07/04/2018  07:07:17";"52,692";
"07/04/2018  09:07:17";"53,156";
"07/04/2018  11:07:17";"53,276";
"07/04/2018  13:05:17";"53,234";
"07/04/2018  15:05:17";"53,385";
"07/04/2018  17:05:17";"53,422";
"07/04/2018  19:03:17";"53,234";
"07/04/2018  21:03:17";"53,276";
"07/04/2018  23:03:17";"53,463";
"08/04/2018  01:01:17";"53,276";
"08/04/2018  03:01:17";"53,276";
"08/04/2018  04:59:17";"53,422";
"08/04/2018  06:57:17";"53,234";
"08/04/2018  08:57:17";"53,422";
"08/04/2018  10:55:17";"53,422";
"08/04/2018  12:53:17";"53,578";
"08/04/2018  14:51:17";"53,500";
"08/04/2018  16:49:17";"53,542";
"08/04/2018  18:49:17";"53,578";
"08/04/2018  20:23:17";"53,083";
"08/04/2018  21:15:17";"52,734";
"08/04/2018  21:49:17";"52,311";
"08/04/2018  23:49:17";"52,614";
"09/04/2018  01:49:17";"52,499";
"09/04/2018  03:47:17";"52,812";
"09/04/2018  05:47:17";"52,499";
"09/04/2018  07:47:17";"52,546";
"09/04/2018  09:47:17";"52,614";
"09/04/2018  11:47:17";"52,812";
"09/04/2018  13:47:17";"53,119";
"09/04/2018  15:45:17";"53,041";
"09/04/2018  17:43:17";"53,041";
"09/04/2018  19:43:17";"52,812";
"09/04/2018  21:43:17";"52,655";
"09/04/2018  23:41:17";"52,311";
"10/04/2018  01:39:17";"52,499";
"10/04/2018  03:39:17";"52,155";
"10/04/2018  05:37:17";"52,577";
"10/04/2018  07:35:17";"52,614";
"10/04/2018  09:33:17";"52,468";
"10/04/2018  11:33:17";"52,963";
"10/04/2018  12:57:17";"53,156";
"10/04/2018  12:57:17";"53,156";
"10/04/2018  12:58:59";"53,119";
"10/04/2018  14:58:56";"52,963";
"10/04/2018  16:58:56";"53,083";
"10/04/2018  18:58:56";"53,156";
"10/04/2018  20:56:56";"53,276";
"10/04/2018  22:56:56";"53,119";
"11/04/2018  00:56:56";"53,119";
"11/04/2018  02:56:56";"52,770";
"11/04/2018  04:54:56";"52,963";
"11/04/2018  06:54:56";"53,083";
"11/04/2018  08:52:56";"53,276";
"11/04/2018  10:52:56";"53,276";
"11/04/2018  12:50:56";"53,156";
"11/04/2018  14:50:56";"52,770";
"11/04/2018  16:48:56";"52,927";
"11/04/2018  18:46:56";"52,812";
"11/04/2018  20:46:56";"52,812";
"11/04/2018  22:44:56";"52,499";
"12/04/2018  00:44:56";"52,390";
"12/04/2018  02:44:56";"52,197";
"12/04/2018  04:42:56";"52,499";
"12/04/2018  06:42:56";"52,311";
"12/04/2018  08:16:56";"52,655";
"12/04/2018  10:16:56";"52,848";
"12/04/2018  12:16:56";"52,812";
"12/04/2018  14:16:56";"52,770";
"12/04/2018  16:16:56";"52,770";
"12/04/2018  18:16:56";"52,614";
"12/04/2018  20:14:56";"52,655";
"12/04/2018  22:12:56";"52,499";
"13/04/2018  00:10:56";"52,614";
"13/04/2018  02:10:56";"52,343";
"13/04/2018  04:08:56";"52,311";
"13/04/2018  06:08:56";"52,343";
"13/04/2018  08:08:56";"52,692";
"13/04/2018  10:02:56";"53,156";
"13/04/2018  12:00:56";"53,156";
"13/04/2018  13:58:56";"53,083";
"13/04/2018  15:58:56";"53,119";
"13/04/2018  17:58:56";"52,963";
"13/04/2018  19:56:56";"52,963";
"13/04/2018  21:56:56";"53,119";
"13/04/2018  23:54:56";"53,119";
"14/04/2018  01:52:56";"53,119";
"14/04/2018  03:52:56";"53,083";
"14/04/2018  05:52:56";"53,041";
"14/04/2018  07:52:56";"53,119";
"14/04/2018  09:50:56";"53,156";
"14/04/2018  11:50:56";"52,927";
"14/04/2018  13:48:56";"53,276";
"14/04/2018  15:48:56";"53,119";
