
"Time";"HTI878";
"09/04/2018  04:11:17";"44,705";
"09/04/2018  06:09:17";"44,476";
"09/04/2018  08:07:17";"44,663";
"09/04/2018  10:07:17";"44,820";
"09/04/2018  12:07:17";"44,934";
"09/04/2018  14:07:17";"45,091";
"09/04/2018  16:05:17";"45,242";
"09/04/2018  18:03:17";"45,091";
"09/04/2018  20:03:17";"44,778";
"09/04/2018  22:01:17";"44,820";
"09/04/2018  23:59:17";"44,476";
"10/04/2018  01:57:17";"44,397";
"10/04/2018  03:57:17";"44,319";
"10/04/2018  05:55:17";"44,627";
"10/04/2018  07:55:17";"44,439";
"10/04/2018  09:53:17";"44,517";
"10/04/2018  11:53:17";"44,976";
"10/04/2018  12:57:17";"45,013";
"10/04/2018  12:57:17";"45,013";
"10/04/2018  12:58:59";"44,976";
"10/04/2018  14:58:56";"44,976";
"10/04/2018  16:58:56";"45,242";
"10/04/2018  18:58:56";"45,164";
"10/04/2018  20:56:56";"45,278";
"10/04/2018  22:56:56";"45,122";
"11/04/2018  00:56:56";"45,122";
"11/04/2018  02:56:56";"44,778";
"11/04/2018  04:54:56";"45,122";
"11/04/2018  06:54:56";"45,091";
"11/04/2018  08:52:56";"45,278";
"11/04/2018  10:52:56";"45,278";
"11/04/2018  12:50:56";"45,164";
"11/04/2018  14:50:56";"44,778";
"11/04/2018  16:38:56";"45,091";
"11/04/2018  18:38:56";"44,976";
"11/04/2018  20:36:56";"44,976";
"11/04/2018  22:34:56";"44,554";
"12/04/2018  00:34:56";"44,554";
"12/04/2018  02:22:56";"44,204";
"12/04/2018  04:22:56";"44,361";
"12/04/2018  06:20:56";"44,204";
"12/04/2018  08:20:56";"44,663";
"12/04/2018  10:18:56";"44,856";
"12/04/2018  12:18:56";"44,663";
"12/04/2018  14:16:56";"44,627";
"12/04/2018  16:16:56";"44,627";
"12/04/2018  18:16:56";"44,778";
"12/04/2018  20:14:56";"44,517";
"12/04/2018  22:12:56";"44,517";
"13/04/2018  00:10:56";"44,627";
"13/04/2018  02:10:56";"44,361";
"13/04/2018  04:08:56";"44,168";
"13/04/2018  06:08:56";"44,361";
"13/04/2018  08:08:56";"44,554";
"13/04/2018  09:46:56";"45,013";
"13/04/2018  11:46:56";"45,164";
"13/04/2018  13:46:56";"45,122";
"13/04/2018  15:46:56";"45,278";
"13/04/2018  17:44:56";"45,122";
"13/04/2018  19:44:56";"45,091";
"13/04/2018  21:44:56";"44,976";
"13/04/2018  23:42:56";"45,091";
"14/04/2018  01:40:56";"45,278";
"14/04/2018  03:38:56";"45,278";
"14/04/2018  05:38:56";"45,091";
"14/04/2018  07:36:56";"44,976";
"14/04/2018  09:36:56";"44,934";
"14/04/2018  11:34:56";"45,091";
"14/04/2018  13:32:56";"45,242";
"14/04/2018  15:32:56";"45,200";
"14/04/2018  17:30:56";"45,278";
"14/04/2018  19:30:56";"45,242";
"14/04/2018  21:28:56";"45,315";
"14/04/2018  23:28:56";"45,435";
"15/04/2018  01:26:56";"45,471";
"15/04/2018  03:24:56";"45,278";
"15/04/2018  05:24:56";"45,278";
"15/04/2018  07:22:56";"45,315";
"15/04/2018  09:20:56";"45,315";
"15/04/2018  11:20:56";"45,471";
"15/04/2018  13:18:56";"45,471";
"15/04/2018  15:18:56";"45,628";
"15/04/2018  17:16:56";"45,357";
"15/04/2018  19:16:56";"45,779";
"15/04/2018  21:14:56";"45,315";
"15/04/2018  23:14:56";"45,393";
"16/04/2018  01:14:56";"45,200";
"16/04/2018  03:12:56";"45,122";
"16/04/2018  05:12:56";"45,091";
"16/04/2018  07:10:56";"45,122";
"16/04/2018  09:08:56";"45,242";
"16/04/2018  11:08:56";"45,164";
"16/04/2018  13:06:56";"45,435";
"16/04/2018  15:06:56";"45,278";
"16/04/2018  17:04:56";"45,393";
"16/04/2018  19:04:56";"45,242";
"16/04/2018  21:02:56";"45,278";
"16/04/2018  23:02:56";"45,242";
"17/04/2018  01:00:56";"45,122";
"17/04/2018  03:00:56";"45,164";
"17/04/2018  04:14:56";"44,741";
"17/04/2018  06:14:56";"44,820";
"17/04/2018  08:14:56";"44,820";
"17/04/2018  10:12:56";"44,820";
"17/04/2018  12:10:56";"44,934";
"17/04/2018  14:10:56";"45,122";
"17/04/2018  16:08:56";"45,278";
"17/04/2018  18:08:56";"45,315";
"17/04/2018  20:06:56";"45,278";
"17/04/2018  22:06:56";"45,164";
"18/04/2018  00:06:56";"44,934";
"18/04/2018  02:04:56";"45,013";
"18/04/2018  04:02:56";"44,663";
"18/04/2018  06:02:56";"44,820";
"18/04/2018  08:02:56";"44,705";
"18/04/2018  09:40:56";"45,164";
"18/04/2018  11:40:56";"45,013";
"18/04/2018  13:38:56";"44,934";
"18/04/2018  15:38:56";"45,122";
"18/04/2018  17:38:56";"45,091";
"18/04/2018  19:36:56";"44,934";
"18/04/2018  21:34:56";"44,976";
"18/04/2018  23:34:56";"45,091";
"19/04/2018  01:34:56";"45,054";
"19/04/2018  03:32:56";"45,091";
"19/04/2018  05:32:56";"44,778";
"19/04/2018  07:32:56";"44,976";
"19/04/2018  09:30:56";"45,278";
"19/04/2018  11:30:56";"45,278";
"19/04/2018  13:30:56";"45,278";
"19/04/2018  15:28:56";"45,242";
